단어,형태소,횟수
있,VV,4363
하,VV,2831
되,VV,2267
생각,NNG,2247
경험,NNG,1936
일,NNG,1534
기술,NNG,1418
업무,NNG,1388
고객,NNG,1141
더,MAG,1068
때,NNG,1066
노력,NNG,1033
직무,NNG,990
가장,MAG,925
지원,NNG,891
목표,NNG,886
있,VA,875
결과,NNG,872
후,NNG,869
취업,NNG,843
과정,NNG,824
사람,NNG,816
문제,NNG,801
많,VA,791
보,VV,789
시간,NNG,775
관리,NNG,764
필요,NNG,726
역량,NNG,721
회사,NNG,683
중요,NNG,670
수행,NNG,662
진행,NNG,661
없,VA,655
받,VV,653
성장,NNG,641
팀,NNG,641
해결,NNG,616
본인,NNG,613
기업,NNG,613
자,NNG,609
팀원,NNG,599
활동,NNG,598
분석,NNG,588
능력,NNG,574
자신,NNG,552
프로젝트,NNG,552
관련,NNG,535
지식,NNG,526
입사,NNG,498
좋,VA,498
만들,VV,487
잘,MAG,486
점,NNG,484
함께,MAG,483
도전,NNG,464
구체,NNG,456
산업,NNG,456
준비,NNG,455
상황,NNG,455
개발,NNG,451
공부,NNG,444
영업,NNG,440
이내,NNG,440
분야,NNG,435
사업,NNG,432
걸음,NNG,421
생산,NNG,417
이유,NNG,416
얻,VV,413
이해,NNG,413
학생,NNG,412
게시판,NNG,409
전공,NNG,409
출처,NNG,403
핫,NNG,401
맡,VV,401
역할,NNG,401
뽀개,VV,400
시작,NNG,399
작성,NNG,396
바탕,NNG,395
같,VA,395
소통,NNG,392
방법,NNG,387
의견,NNG,383
제품,NNG,378
가지,VV,377
발전,NNG,377
시장,NNG,376
관심,NNG,368
활용,NNG,361
파악,NNG,352
인턴,NNG,352
수업,NNG,342
효율,NNG,338
직접,MAG,336
공정,NNG,335
개선,NNG,335
달성,NNG,334
데이터,NNG,334
선택,NNG,333
항상,MAG,333
생활,NNG,332
가치,NNG,332
가능,NNG,328
부분,NNG,322
도움,NNG,321
알,VV,320
친구,NNG,318
계획,NNG,314
사용,NNG,313
상품,NNG,311
조직,NNG,307
직원,NNG,307
성공,NNG,305
동기,NNG,304
들,VV,301
시절,NNG,301
인재,NNG,299
먼저,MAG,299
말,NNG,296
설계,NNG,294
동안,NNG,293
서비스,NNG,289
기획,NNG,288
기존,NNG,283
한국,NNP,280
교육,NNG,278
갖,VV,278
동아리,NNG,276
찾,VV,274
현장,NNG,272
부족,NNG,272
아르바이트,NNG,268
학교,NNG,267
시스템,NNG,265
과제,NNG,265
연구,NNG,263
높,VA,263
성과,NNG,262
처음,NNG,262
근무,NNG,260
사회,NNG,258
참여,NNG,258
전문,NNG,257
해당,NNG,250
신뢰,NNG,248
당시,NNG,247
대학,NNG,247
발생,NNG,246
방식,NNG,246
이후,NNG,243
다,MAG,243
내용,NNG,242
적극,NNG,241
고민,NNG,238
이상,NNG,235
자격증,NNG,233
제공,NNG,232
배우,VV,231
부품,NNG,228
전기,NNG,227
처리,NNG,226
변화,NNG,225
관계,NNG,224
성격,NNG,224
향상,NNG,222
정보,NNG,221
열정,NNG,221
마음,NNG,221
최고,NNG,220
구매,NNG,220
운영,NNG,220
책임감,NNG,220
이루,VV,219
발표,NNG,219
사원,NNG,218
자료,NNG,217
환경,NNG,217
극복,NNG,215
품질,NNG,213
아이디어,NNG,213
행동,NNG,213
반도체,NNG,213
모습,NNG,212
이용,NNG,212
어떻게,MAG,206
물류,NNP,206
세계,NNG,205
많이,MAG,205
개인,NNG,204
과목,NNG,201
봉사,NNG,200
엔지니어,NNG,199
사례,NNG,198
작업,NNG,198
취득,NNG,196
선배,NNG,196
부서,NNG,195
최근,NNG,194
경우,NNG,192
결정,NNG,192
프로그램,NNG,189
기여,NNG,187
미래,NNG,186
마케팅,NNG,186
설명,NNG,185
공학,NNG,185
실험,NNG,184
주,VV,184
문화,NNG,184
자동차,NNG,184
앞,NNG,183
전,NNG,181
간,NNG,180
홍보,NNG,180
더욱,MAG,179
서술,NNG,178
