단어,형태소,횟수
을,JKO,25
.,SF,17
에,JKB,12
적,XSN,12
고,EC,11
습니다,EF,11
를,JKO,11
은행,NNG,10
",",SC,10
하,XSV,10
의,JKG,10
으로,JKB,10
과,JC,9
우리,NP,8
이,JKS,7
인,VCP+ETM,7
어,EC,6
한,XSA+ETM,6
해,XSV+EC,6
주,VX,6
/,SC,6
기술,NNG,5
는,ETM,5
통해,VV+EC,5
있,VV,5
은,JX,5
와,JC,4
화,XSN,4
세요,EP+EF,4
[,SSO,4
],SSC,4
경제,NNG,4
여,EC,4
할,XSV+ETM,4
고객,NNG,4
서비스,NNG,4
사업,NNG,4
관점,NNG,4
지원,NNG,3
는,JX,3
기,ETN,3
위해,VV+EC,3
되,XSV,3
있,VX,3
자격증,NNG,3
금융,NNG,3
수,NNB,3
었,EP,3
에서,JKB,3
년,NNBC,3
과거,NNG,3
미래,NNG,3
한,MM,3
그,MM,3
-,SY,3
가,VX,3
입니다,VCP+EF,3
시장,NNG,3
것,NNB,3
독거,NNG,3
노인,NNG,3
치매,NNG,3
보건소,NNG,3
필요,NNG,3
협조,NNG,3
겠,EP,3
.,SY,3
이,VCP,2
다른,MM,2
해,VV+EC,2
신문,NNG,2
였,EP,2
취득,NNG,2
하,VV,2
사람,NNG,2
들,XSN,2
게,EC,2
만,JX,2
아니,VCN,2
라,EC,2
다양,XR,2
복지,NNG,2
관,NNG,2
대하,VV,2
현재,MAG,2
대해,VV+EC,2
중소기업,NNG,2
생애,NNG,2
주기,NNG,2
된,XSV+ETM,2
로,JKB,2
이끌,VV,2
결과,NNG,2
지역,NNG,2
내,NNB,2
명단,NNG,2
요청,NNG,2
진행할,VV+ETM,2
대한,VV+ETM,2
등,NNB,2
자료,NNG,2
설명,NNG,2
심리,NNG,2
앞,NNG,2
단기,NNG,2
(,SSO,2
),SSC,2
장기,NNG,2
파악,NNG,2
:,SC,2
취업,NNG,2
동기,NNG,1
무엇,NP,1
며,EC,1
입행,NNG,1
지원자,NNG,1
차별,NNG,1
본인,NNG,1
어떠,XR,1
노력,NNG,1
왔,VX+EP,1
는지,EC,1
준비,NNG,1
자세,NNG,1
전반,NNG,1
지식,NNG,1
습득,NNG,1
매경,NNP,1
테스트,NNG,1
우수,NNG,1
AFPK,SL,1
또한,MAJ,1
권,XSN,1
취직,NNG,1
고자,EC,1
모임,NNG,1
매주,MAG,1
1,SN,1
회,NNBC,1
읽,VV,1
토론,NNG,1
상대방,NNG,1
의견,NNG,1
폭넓,VA,1
공유,NNG,1
뿐,NNB,1
아르바이트,NNG,1
봉사,NNG,1
활동,NNG,1
2,SN,1
간,NNG,1
사회생활,NNG,1
기본,NNG,1
정신,NNG,1
의사소통,NNG,1
함양,NNG,1
키워드,NNP,1
각각,MAG,1
가지,NNBC,1
씩,XSN,1
선정,NNG,1
이유,NNG,1
부터,JX,1
기반,NNG,1
미약,XR,1
이,VV,1
현재,NNG,1
별,XSN,1
맞춤,NNG,1
형,XSN,1
제공,NNG,1
라이프,NNG,1
파트너,NNG,1
되,VV,1
맞춰,VV+EC,1
최적,NNG,1
상품,NNG,1
꾸준히,MAG,1
개발,NNG,1
중,NNB,1
해외,NNG,1
개척,NNG,1
동남아,NNP,1
중국,NNP,1
뿐,JX,1
전,MM,1
세계,NNG,1
뻗,VV,1
혁신,NNG,1
자리매김,NNG,1
설득,NNG,1
지지,NNG,1
내,VX,1
야,EC,1
했,VX+EP,1
던,ETM,1
경험,NNG,1
다면,EC,1
구체,NNG,1
사례,NNG,1
바탕,NNG,1
과정,NNG,1
담당자,NNG,1
로서,JKB,1
등록,NNG,1
자,XSN,1
했었,XSA+EP,1
수차례,NNG,1
공문,NNG,1
했으나,XSV+EP+EC,1
개인,NNG,1
정보,NNG,1
문제,NNG,1
거절,NNG,1
당했,VV+EP,1
어야,EC,1
상황,NNG,1
라서,EC,1
방법,NNG,1
달리,MAG,1
추진,NNG,1
성,XSN,1
기대,NNG,1
효과,NNG,1
문서,NNG,1
해서,XSV+EC,1
만들,VV,1
가지,VV,1
직접,MAG,1
방문,NNG,1
정중,XR,1
하,XSA,1
구했,VV+EP,1
보건,NNG,1
소장,NNG,1
님,XSN,1
응해,VV+EC,1
셨,EP+EP,1
연계,NNG,1
50,SN,1
명,NNBC,1
대상,NNG,1
상담,NNG,1
및,MAJ,1
집중,NNG,1
관리,NNG,1
목표,NNG,1
포부,NNG,1
3,SN,1
~,SY,1
5,SN,1
10,SN,1
이상,NNG,1
시,EP,1
어떤,MM,1
금융인,NNG,1
성장,NNG,1
나갈,VX+ETM,1
인지,VCP+EC,1
동향,NNG,1
업무,NNG,1
전체,NNG,1
흐름,NNG,1
CFP,SL,1
신용,NNG,1
분,XSN,1
석사,NNG,1
은행원,NNG,1
으로서,JKB,1
역량,NNG,1
키워,VV+EC,1
나가,VX,1
번,NNBC,1
영원,NNG,1
비대,VV,1
면,EC,1
가,JKS,1
더욱,MAG,1
활성,NNG,1
지만,EC,1
부분,NNG,1
내면,NNG,1
니즈,NNG,1
출처,NNG,1
http,SL,1
www,SL,1
jobkorea,SL,1
co,SL,1
kr,SL,1
SelfIntroduction,SL,1
PassAssayIndex,SL,1
#,SY,1
핫,NNG,1
뽀개,VV,1
게시판,NNG,1
보,VV,1
걸음,NNG,1
더,MAG,1
!,SF,1
