단어,형태소,횟수
을,JKO,40087
.,SF,35371
하,XSV,28428
습니다,EF,25868
를,JKO,23424
의,JKG,22109
에,JKB,21780
",",SC,18796
고,EC,18632
는,ETM,18214
이,JKS,14509
었,EP,10457
한,XSA+ETM,10115
는,JX,9730
으로,JKB,9317
있,VV,9271
에서,JKB,8230
수,NNB,8012
기,ETN,7996
가,JKS,7842
들,XSN,7798
적,XSN,7133
것,NNB,6826
과,JC,6468
은,JX,6335
게,EC,6306
하,VV,6005
이,VCP,5429
은,ETM,5323
여,EC,5310
했,XSV+EP,5117
도,JX,5025
로,JKB,4968
되,VV,4947
저,NP,4784
생각,NNG,4565
/,SC,4321
할,XSV+ETM,4288
해,XSV+EC,4212
경험,NNG,4185
"""",SY,4169
며,EC,4011
인,VCP+ETM,3708
던,ETM,3469
였,EP,3465
와,JC,3427
통해,VV+EC,3400
어,EC,3386
입니다,VCP+EF,3329
주,VX,3209
위해,VV+EC,3172
지,EC,3101
겠,EP,2989
일,NNG,2922
업무,NNG,2903
.,SY,2891
있,VX,2850
기술,NNG,2798
하,XSA,2628
않,VX,2482
그,MM,2476
이,NP,2438
과,JKB,2433
등,NNB,2337
에게,JKB,2323
노력,NNG,2316
더,MAG,2311
한,MM,2226
을,ETM,2220
면서,EC,2175
때,NNG,2172
성,XSN,2165
고객,NNG,2107
한,XSV+ETM,2095
았,EP,2067
직무,NNG,2025
있,VA,1978
대한,VV+ETM,1973
:,SC,1973
사람,NNG,1966
및,MAJ,1953
합니다,XSA+EF,1948
지원,NNG,1920
후,NNG,1896
가장,MAG,1848
목표,NNG,1841
되,XSV,1828
',SY,1807
취업,NNG,1800
과정,NNG,1791
지만,EC,1758
많,VA,1718
싶,VX,1712
결과,NNG,1711
),SSC,1704
다고,EC,1697
(,SSO,1669
보,VV,1665
관리,NNG,1615
또한,MAJ,1575
문제,NNG,1567
만,JX,1559
다는,ETM,1548
때문,NNB,1534
중,NNB,1526
시간,NNG,1525
필요,NNG,1493
1,SN,1483
아,EC,1474
활동,NNG,1463
역량,NNG,1455
성장,NNG,1431
중요,NNG,1402
보,VX,1394
2,SN,1366
없,VA,1365
받,VV,1363
회사,NNG,1356
까지,JX,1356
이러,XR,1346
진행,NNG,1341
대해,VV+EC,1339
제,NP,1315
이,MM,1301
지식,NNG,1293
년,NNBC,1286
기업,NNG,1277
해결,NNG,1256
님,XSN,1243
수행,NNG,1243
된,XSV+ETM,1234
능력,NNG,1226
자신,NNG,1215
팀원,NNG,1215
했,VV+EP,1214
십시오,EP+EF,1205
본인,NNG,1182
팀,NNG,1180
자,NNG,1167
입사,NNG,1143
관련,NNG,1138
분석,NNG,1138
프로젝트,NNG,1134
화,XSN,1128
도전,NNG,1099
도록,EC,1099
라,EC,1084
함께,MAG,1080
‘,SY,1078
시,EP,1063
잘,MAG,1051
[,SSO,1049
공부,NNG,1044
분야,NNG,1032
만들,VV,1028
’,SY,1027
],SSC,1022
다른,MM,1021
라는,ETM,1019
좋,VA,1018
생산,NNG,1001
무엇,NP,998
산업,NNG,995
와,JKB,977
3,SN,969
위한,VV+ETM,966
전공,NNG,966
사업,NNG,962
큰,VA+ETM,957
상황,NNG,954
제품,NNG,953
보다,JKB,930
소통,NNG,928
하지만,MAJ,922
준비,NNG,907
바탕,NNG,904
점,NNG,902
영업,NNG,902
면,EC,901
얻,VV,896
걸음,NNG,892
다양,XR,888
이해,NNG,888
개발,NNG,879
게시판,NNG,872
가지,VV,863
출처,NNG,857
번,NNBC,854
co,SL,854
핫,NNG,853
이유,NNG,852
www,SL,852
kr,SL,852
뽀개,VV,852
http,SL,851
관심,NNG,850
새로운,VA+ETM,849
아니,VCN,842
같,VA,833
방법,NNG,829
할,VV+ETM,828
시작,NNG,820
해,VV+EC,817
구체,NNG,812
-,SY,811
는지,EC,805
라고,EC,800
시장,NNG,790
공정,NNG,789
부터,JX,787
작성,NNG,783
!,SF,780
#,SY,769
발전,NNG,763
그리고,MAJ,761
생활,NNG,760
역할,NNG,750
개선,NNG,745
4,SN,744
이내,NNG,742
활용,NNG,742
라는,VCP+ETM,738
효율,NNG,737
학생,NNG,734
인턴,NNG,728
맡,VV,727
jobkorea,SL,724
해야,XSV+EC,721
직접,MAG,717
파악,NNG,706
동기,NNG,705
가능,NNG,705
고자,EC,696
였,VCP+EP,693
될,VV+ETM,692
알,VV,689
어떤,MM,688
기획,NNG,687
항상,MAG,680
했,VX+EP,679
성공,NNG,679
부분,NNG,671
의견,NNG,669
현장,NNG,668
도움,NNG,662
으며,EC,661
가치,NNG,660
가지,NNBC,655
들,VV,654
선택,NNG,652
시절,NNG,652
SelfIntroduction,SL,651
PassAssayIndex,SL,651
동아리,NNG,647
사회,NNG,642
인재,NNG,639
수업,NNG,637
말,NNG,633
달성,NNG,633
동안,NNG,632
조직,NNG,628
계획,NNG,627
다,EC,627
전문,NNG,626
친구,NNG,617
위해서,VV+EC,613
먼저,MAG,606
서비스,NNG,599
사용,NNG,594
학교,NNG,591
설계,NNG,583
이,JKC,577
환경,NNG,576
데,NNB,572
찾,VV,571
기존,NNG,568
참여,NNG,566
명,NNBC,565
성과,NNG,564
모든,MM,563
부족,NNG,557
자료,NNG,554
당시,NNG,553
하나,NR,552
갖,VV,551
한국,NNP,547
근무,NNG,547
높,VA,542
적극,NNG,542
아르바이트,NNG,541
발생,NNG,541
대학,NNG,539
함,XSA+ETN,537
는데,EC,536
성격,NNG,536
다,MAG,536
신뢰,NNG,534
여러,MM,534
과제,NNG,524
된,VV+ETM,522
느꼈,VV+EP,518
상품,NNG,514
할,VX+ETM,512
해당,NNG,509
데이터,NNG,509
시스템,NNG,508
이후,NNG,507
관계,NNG,507
변화,NNG,506
방식,NNG,501
교육,NNG,501
배웠,VV+EP,498
이용,NNG,498
직원,NNG,497
10,SN,495
반도체,NNG,492
이상,NNG,489
열정,NNG,488
그래서,MAJ,488
이루,VV,483
연구,NNG,482
처음,NNG,477
운영,NNG,476
향상,NNG,474
자격증,NNG,473
공학,NNG,473
배우,VV,473
정보,NNG,469
최고,NNG,469
사원,NNG,469
두,MM,462
바랍니다,VV+EF,461
극복,NNG,458
고민,NNG,456
으로서,JKB,453
하,VX,452
제공,NNG,447
모습,NNG,447
전기,NNG,444
과목,NNG,443
왔,VX+EP,440
어서,EC,439
내용,NNG,437
로서,JKB,436
기여,NNG,435
봉사,NNG,433
이나,JC,433
적,NNB,430
?,SF,428
기회,NNG,427
제작,NNG,426
물류,NNP,424
쌓,VV,423
엔지니어,NNG,423
책임감,NNG,423
대하,VV,422
개인,NNG,420
더욱,MAG,420
니,EC,420
5,SN,418
처리,NNG,416
특히,MAG,416
자동차,NNG,416
다양,NNG,415
행동,NNG,412
셨,EP+EP,411
취득,NNG,410
내,NNB,410
전략,NNG,408
세계,NNG,407
발표,NNG,407
구매,NNG,406
협력,NNG,406
작업,NNG,405
아이디어,NNG,404
사례,NNG,403
시키,XSV,402
기본,NNG,398
조사,NNG,397
많이,MAG,395
그,NP,394
간,NNG,391
지속,NNG,391
따라,VV+EC,391
마음,NNG,386
최근,NNG,385
나가,VX,384
합니다,XSV+EF,381
전문가,NNG,381
개,NNBC,380
프로그램,NNG,380
지,VX,378
어떻게,MAG,377
시험,NNG,376
앞,NNG,374
아닌,VCN+ETM,374
미래,NNG,373
빠르,VA,372
에너지,NNG,372
판매,NNG,372
우리,NP,371
간,NNB,371
효과,NNG,370
품질,NNG,370
제안,NNG,370
담당,NNG,368
라고,VCP+EC,367
전,NNG,367
자세,NNG,366
강점,NNG,364
나,NP,364
경우,NNG,362
이런,MM,361
함,XSV+ETN,361
실패,NNG,360
실험,NNG,359
세요,EP+EF,358
금융,NNG,358
설명,NNG,358
대화,NNG,358
학년,NNG,358
끝,NNG,358
경쟁력,NNG,357
맞,VV,354
대학교,NNG,354
수강,NNG,352
홍보,NNG,351
해서,XSV+EC,350
선배,NNG,350
으로써,JKB,349
영향,NNG,349
서술,NNG,347
인지,VCP+EC,346
부서,NNG,345
제,XPN,343
생,XSN,342
다면,EC,340
기반,NNG,339
가,VX,338
행사,NNG,338
제시,NNG,338
안전,NNG,337
저희,NP,337
모두,MAG,337
핵심,NNG,337
이끌,VV,336
문화,NNG,336
통한,VV+ETM,335
뿐,JX,334
어려움,NNG,334
꿈,NNG,334
첫,MM,333
결정,NNG,332
매출,NNG,331
장점,NNG,330
주,VV,330
합니다,VX+EF,329
경영,NNG,329
삼성,NNP,329
성적,NNG,328
힘들,VA,328
화학,NNG,327
다시,MAG,326
계기,NNG,326
마다,JX,325
글로벌,NNG,324
남,VV,324
부품,NNG,323
포기,NNG,322
자,XSN,321
거나,EC,321
유지,NNG,321
속,NNG,319
째,XSN,319
500,SN,318
기간,NNG,317
했,XSA+EP,317
마케팅,NNG,316
대회,NNG,315
깨달,VV,315
설득,NNG,310
쉽,VA,307
다음,NNG,307
학습,NNG,306
갖추,VV,305
정확,NNG,305
처럼,JKB,304
어야,EC,303
각,MM,302
기사,NNG,301
포함,NNG,299
영어,NNG,298
경제,NNG,297
내,VX,297
유통,NNG,296
실무,NNG,296
나,JC,296
사고,NNG,296
차,NNBC,296
인해,VV+EC,295
적용,NNG,294
곳,NNG,293
배운,VV+ETM,293
없이,MAG,293
발휘,NNG,293
꾸준히,MAG,292
스스로,MAG,291
`,SY,290
개월,NNBC,290
평가,NNG,290
업체,NNG,290
전자,NNG,290
같이,MAG,288
만족,NNG,287
여행,NNG,287
어떠,XR,286
해외,NNG,286
정도,NNG,286
현재,MAG,285
국내,NNG,285
한,VV+ETM,285
학과,NNG,285
사항,NNG,283
6,SN,283
협업,NNG,282
께서,JKS,282
삶,NNG,280
가진,VV+ETM,279
제,MM,279
동료,NNG,279
원,NNG,278
확인,NNG,277
재고,NNG,277
정신,NNG,276
시도,NNG,275
학기,NNG,274
관한,VV+ETM,273
정리,NNG,273
느끼,VV,272
오,EF,272
지금,NNG,270
투자,NNG,269
책임,NNG,268
졸업,NNG,268
가격,NNG,268
작,VA,267
덕분,NNG,267
감,XSN,266
최선,NNG,266
OO,SL,265
특성,NNG,265
혁신,NNG,264
교수,NNG,264
비용,NNG,262
자,EC,262
회의,NNG,262
갈등,NNG,260
%,SY,260
안,MAG,260
소재,NNG,256
바로,MAG,256
판단,NNG,256
그러나,MAJ,256
기계,NNG,256
_,SY,256
만큼,NNB,255
차별,NNG,254
높이,VV,254
해야,VV+EC,253
“,SSO,252
지역,NNG,251
가,VV,251
이슈,NNG,251
기준,NNG,250
선정,NNG,249
남,NNG,249
1000,SN,249
방안,NNG,249
OOOO,SL,249
별,XSN,248
주변,NNG,248
아이,NNG,248
주제,NNG,247
CJ,SL,246
적응,NNG,246
상,XSN,246
분,NNB,246
안,NNG,245
구성원,NNG,245
서,EC,244
또는,MAJ,244
적합,XR,243
못하,VX,243
프로세스,NNG,243
현재,NNG,242
전체,NNG,242
크,VA,242
따라서,MAJ,242
원활,NNG,242
씩,XSN,241
운동,NNG,241
기초,NNG,239
부모,NNG,239
인사,NNG,239
”,SSC,239
위,NNBC,238
그것,NP,238
중심,NNG,238
단점,NNG,238
긍정,NNG,237
설비,NNG,237
팀장,NNG,237
보여,VV+EC,236
겪,VV,236
장비,NNG,235
자리,NNG,233
신입,NNG,233
전달,NNG,231
서로,MAG,229
매일,MAG,229
뿐,NNB,225
듣,VV,224
이야기,NNG,223
요구,NNG,222
뒤,NNG,222
~,SY,221
둘째,NR,221
끊임없이,MAG,221
배울,VV+ETM,221
제,NP+JKG,221
수익,NNG,221
통해서,VV+EC,220
방향,NNG,220
날,NNG,220
첫째,NR,219
입장,NNG,219
자원,NNG,219
우수,NNG,218
형,XSN,218
어느,MM,218
공사,NNG,218
방문,NNG,217
가치관,NNG,217
더라도,EC,217
통하,VV,217
강의,NNG,217
은행,NNG,216
또,MAG,216
모두,NNG,216
인생,NNG,216
창출,NNG,215
이론,NNG,215
집중,NNG,214
문제점,NNG,214
회계,NNG,214
만드,VV,214
자기,NP,213
어려웠,VA+EP,213
차이,NNG,212
원인,NNG,212
기억,NNG,211
처음,MAG,210
말씀,NNG,209
연습,NNG,209
100,SN,208
힘,NNG,208
한다고,VX+EC,208
안정,NNG,208
식품,NNG,207
포부,NNG,206
열심히,MAG,206
습득,NNG,205
소비자,NNG,205
께,JKB,205
대해서,VV+EC,205
실습,NNG,205
확보,NNG,204
될,XSV+ETM,204
