가격,"값

"
가구,"세대2

"
가구,"세대2

"
가극,"오페라

"
가도,"가로3

"
가락,"곡조

"
가락,"선율

"
가로,"가도

"
가로세로,"종횡

"
가루,"분2, 분말

"
가루비누,"합성 세제
"
가마,"가마솥

"
가마,"가마니

"
가마,"가마니

"
가마니,"가마4

"
가마니,"가마4

"
가마솥,"가마1

"
가면,"마스크, 탈1

"
가문,"문벌

"
가부,"찬반

"
가부장제,"가부장 제도

"
가사,"집안일, 집일

"
가사,"노랫말

"
가산,"덧셈
"
가솔린,"휘발유

"
가슴,"흉부

"
가슴,"젖가슴

"
가슴속,"마음속, 심중, 염두, 의중

"
가슴팍,"가슴패기

"
가슴패기,"가슴팍

"
가시방석,"바늘방석

"
가식,"가장3

"
가요,"대중가요

"
가운뎃손가락,"장지1, 중지2

"
가을걷이,"추수

"
가장,"호주1

"
가장,"가식

"
가재도구,"세간1

"
가전,"가전제품

"
가전제품,"가전

"
가정일,"집안일

"
가정일,"집안일

"
가정주부,"주부, 안주인

"
가제,"거즈

"
가족,"식구

"
가지각색,"각양각색, 형형색색

"
가축,"집짐승

"
가타부타,"왈가왈부

"
각,"각도

"
각가지,"각색1, 각종

"
각도,"각1

"
각본,"극본

"
각색,"각가지, 각종

"
각시,"새색시, 색시

"
각양각색,"가지각색, 형형색색

"
각자,"제각각1, 제각기1

"
각종,"각가지, 각색1

"
각지,"각처

"
각처,"각지

"
간,"간장3

"
간격,"간극

"
간격,"간극
"
간극,"간격

"
간극,"간격

"
간석지,"개펄, 갯벌

"
간음,"내통, 야합, 통정
"
간장,"장6

"
간장,"간3

"
간질,"간질병
"
간질병,"간질
"
간첩,"스파이, 첩자

"
간행,"출간, 출판

"
갈대밭,"갈밭

"
갈림길,"기로

"
갈무리,"저장

"
갈밭,"갈대밭

"
갈비,"갈비뼈, 늑골

"
갈비,"갈비씨

"
갈비뼈,"갈비, 늑골

"
갈비씨,"갈비
"
감,"감도

"
감감무소식,"감감소식

"
감감소식,"감감무소식

"
감도,"감3

"
감산,"뺄셈
"
감상,"소감

"
감시원,"감시인, 감시자

"
감시인,"감시원, 감시자

"
감시자,"감시원, 감시인

"
감안,"고려1, 참작

"
감옥,"옥2
"
감옥살이,"옥살이

"
감옥살이,"옥살이

"
감지기,"센서

"
감촉,"촉감

"
갑절,"곱, 곱절, 배4

"
값,"가격2

"
갓난아기,"갓난아이, 갓난쟁이, 신생아

"
갓난아이,"신생아
"
갓난쟁이,"갓난아기, 갓난아이, 신생아

"
강가,"강변1
"
강간,"겁탈

"
강국,"강대국

"
강기슭,"강안
"
강냉이,"옥수수

"
강대국,"강국
"
강력범,"폭력범

"
강변,"강가

"
강보,"포대기

"
강사,"연사

"
강안,"강기슭

"
강철,"철강

"
강철판,"강판2

"
강판,"강철판

"
강하,"하강

"
개가,"재가1

"
개간,"개척

"
개개,"낱낱

"
개교,"개학
"
개구리밥,"부평초

"
개구리헤엄,"평영

"
개구쟁이,"악동, 장난꾸러기

"
개국,"건국

"
개그,"익살

"
개똥벌레,"반디, 반딧불, 반딧불이

"
개략,"개요

"
개략적,"대략적1

"
개런티,"출연료

"
개명,"개화1, 진보

"
개발,"계발

"
개변,"개혁
"
개시,"개점

"
개시,"마수걸이

"
개신교,"신교

"
개심,"개전

"
개요,"개략

"
개울,"개천, 내1

"
개전,"개심

"
개점,"개시1
"
개찰,"개표1

"
개척,"개간

"
개천,"개울, 내1

"
개펄,"간석지, 갯벌

"
개표,"개찰

"
개학,"개교

"
개혁,"개변

"
개화,"개명2, 진보

"
객,"손2

"
객식구,"군식구

"
객지,"타관, 타향

"
갤러리,"화랑

"
갯마을,"어촌

"
갯벌,"개펄, 간석지

"
갱,"갱도

"
갱도,"갱1

"
갱생,"소생, 재생, 회생

"
갱신,"경신

"
갹출,"추렴

"
거개,"거의1

"
거국,"전국

"
거금,"큰돈

"
거리,"길거리

"
거부,"대부1

"
거부,"거절

"
거북,"거북이

"
거북이,"거북

"
거상,"대상1

"
거센소리,"격음
"
거소,"거처
"
거스름돈,"잔돈2

"
거웃,"음모1

"
거의,"거개1

"
거장,"대가1

"
거절,"거부2
"
거점,"근거, 근거지

"
거주,"주거

"
거주민,"주민

"
거즈,"가제2

"
거지,"걸인

"
거짓,"허위
"
거처,"거소

"
거푸집,"형틀

"
걱정,"근심

"
걱정거리,"근심거리

"
건국,"개국2

"
건기,"건조기1
"
건널목,"횡단보도

"
건반,"키보드

"
건조기,"건기

"
건조기,"드라이어

"
건축가,"건축사

"
건축사,"건축가

"
걸상,"의자

"
걸음,"발걸음

"
걸인,"거지

"
걸작,"명작
"
검둥개,"검둥이

"
검둥이,"검둥개
"
검무,"칼춤

"
검약,"경제

"
검은빛,"검은색, 흑1, 흑색

"
검은색,"검은빛, 검정색, 흑1, 흑색
"
검정색,"검은색

"
검지,"인지1, 집게손가락

"
검진,"진찰

"
검찰,"검찰청

"
검찰청,"검찰

"
겁보,"겁쟁이

"
겁쟁이,"겁보

"
겁탈,"약탈

"
겁탈,"강간

"
겉껍질,"외피
"
겉면,"외면1, 표면

"
겉모습,"겉모양

"
겉모양,"겉모습, 외양

"
겉보기,"외관

"
겉옷,"외투

"
게릴라,"유격대

"
게시판,"안내판, 알림판

"
게임,"놀이

"
게임,"시합

"
겨드랑,"겨드랑이

"
겨드랑이,"겨드랑

"
겨우살이,"월동, 겨울나기

"
겨울나기,"월동, 겨우살이

"
겨울옷,"동복
"
겨울잠,"동면

"
겨울철,"동계
"
격년,"해거리

"
격노,"격분

"
격분,"격노

"
격음,"거센소리

"
격증,"격감

"
견사,"명주실

"
견식,"식견

"
견지,"관점

"
결국,"결말

"
결례,"실례1, 실수

"
결론,"맺음말, 마무리
"
결말,"결국1
"
결승,"결승전

"
결승전,"결승

"
결심,"결의1

"
결의,"결심

"
결의,"의결

"
결재,"재가2

"
결점,"단점
"
결정,"낙착

"
결행,"단행

"
결혼,"혼인
"
결혼식,"예식, 혼례, 혼례식, 혼인식

"
겸손,"겸허
"
겸임,"겸직
"
겸직,"겸임

"
겸허,"겸손

"
겹겹,"첩첩1

"
경각심,"경계심

"
경계심,"경각심

"
경관,"경치, 풍경, 풍광, 풍물

"
경구,"잠언

"
경박,"경솔

"
경비,"경비원

"
경비원,"경비2

"
경사로,"비탈길

"
경솔,"경박

"
경승,"명승

"
경신,"갱신

"
경어법,"높임법

"
경외,"외경

"
경음,"된소리

"
경쟁심,"경쟁의식

"
경쟁의식,"경쟁심

"
경제,"경제학

"
경제,"검약

"
경제계,"재계

"
경제학,"경제

"
경주,"달리기

"
경지,"부문, 분야, 영역

"
경찰,"경찰관

"
경찰관,"경찰

"
경치,"경관, 풍경, 풍광, 풍물

"
경칭,"존칭

"
경향,"동향3, 흐름

"
경험담,"체험담

"
경험론,"경험주의
"
경험주의,"경험론

"
곁가지,"지엽

"
계,"합계, 합산

"
계간,"계간지
"
계간지,"계간
"
계단,"층계

"
계단,"단계

"
계란,"달걀

"
계략,"계책

"
계량,"계측

"
계명,"계이름

"
계모,"의붓어머니
"
계발,"개발

"
계부,"의붓아버지
"
계산,"셈1

"
계승,"승계

"
계이름,"계명
"
계절,"시절, 철1

"
계절풍,"몬순

"
계좌,"구좌

"
계주,"이어달리기

"
계책,"계략

"
계측,"계량

"
계층,"층

"
고객,"손님

"
고교,"고등학교

"
고교생,"고등학생

"
고국,"조국
"
고금리,"고리3
"
고기,"물고기

"
고기잡이,"어부

"
고기잡이배,"고깃배, 어선

"
고깃덩어리,"고깃덩이

"
고깃덩어리,"고깃덩이

"
고깃덩이,"고깃덩어리

"
고깃덩이,"고깃덩어리

"
고깃배,"고기잡이배, 어선

"
고난,"고초

"
고니,"백조

"
고담,"옛날이야기, 옛이야기

"
고등학교,"고교
"
고등학생,"고교생
"
고딕,"고딕체

"
고딕체,"고딕

"
고려,"감안, 참작

"
고료,"원고료

"
고름,"옷고름

"
고리,"고금리
"
고막,"귀청

"
고만치,"고만큼1
큰말 그만치1
"
고만큼,"고만치1
큰말 그만큼1
"
고목,"고목나무

"
고목나무,"고목1

"
고무,"고취

"
고무지우개,"지우개

"
고무풍선,"풍선

"
고발인,"고발자
"
고발자,"고발인

"
고사장,"시험장

"
고서,"고서적, 고전1

"
고서적,"고서, 고전1

"
고소,"쓴웃음

"
고소설,"고대 소설
"
고소인,"고소자
"
고소자,"고소인
"
고속철,"고속 철도

"
고수부지,"둔치

"
고아원,"보육원

"
고어,"옛말

"
고용인,"고용자1

"
고용인,"고용자2

"
고용자,"고용인1

"
고용자,"고용인2

"
고유어,"토박이말
"
고육지계,"고육지책

"
고육지책,"고육지계

"
고저,"높낮이

"
고적,"고적지, 유적
"
고적지,"고적, 유적
"
고전,"고서, 고서적

"
고전,"고투

"
고조,"고조부, 고조할아버지

"
고조모,"고조할머니
"
고조부,"고조1, 고조할아버지
"
고조할머니,"고조모
"
고조할아버지,"고조1, 고조부
"
고종,"고종사촌
"
고종사촌,"고종
"
고지,"고지대
"
고지대,"고지2
"
고질,"고질병

"
고질,"고질병

"
고질병,"고질

"
고질병,"고질

"
고참,"선임1
"
고초,"고난

"
고취,"고무2

"
고치,"누에고치

"
고투,"고전2

"
고해,"고해 성사

"
고환,"불알

"
곡,"통곡

"
곡마단,"서커스

"
곡명,"곡목

"
곡목,"곡명

"
곡물,"곡식

"
곡성,"곡소리

"
곡소리,"곡성

"
곡식,"곡물

"
곡절,"우여곡절

"
곡절,"사정1

"
곡조,"가락2, 자락

"
곡해,"오해

"
곤궁,"빈곤

"
골,"골짜기

"
골,"골수, 뼛속

"
골,"뇌

"
골동,"골동품

"
골동품,"골동

"
골마루,"복도

"
골목,"골목길

"
골목길,"골목

"
골몰,"몰두

"
골반,"골반뼈

"
골반뼈,"골반

"
골수,"뼛속, 골3

"
골수,"뼛속

"
골짜기,"골2
"
골칫거리,"두통거리

"
곰국,"곰탕

"
곰탕,"곰국

"
곰팡내,"곰팡냄새

"
곰팡내,"곰팡냄새

"
곰팡냄새,"곰팡내

"
곰팡냄새,"곰팡내

"
곱,"갑절, 곱절, 배4

"
곱,"곱절, 배4

"
곱셈,"승2
"
곱절,"갑절, 곱, 배4

"
곱절,"곱, 배4

"
곳곳,"도처, 여기저기

"
공,"공로

"
공,"영2, 제로

"
공감,"동감

"
공것,"공짜

"
공고,"공시, 공포1, 반포

"
공공사업,"공익사업

"
공덕,"덕

"
공란,"공백, 빈칸, 여백

"
공로,"공3

"
공로자,"유공자

"
공론,"여론
"
공문,"공문서

"
공문서,"공문

"
공방,"빈방

"
공백,"공란, 여백

"
공백,"허점, 허

"
공범,"공범자
"
공범자,"공범

"
공복,"공무원

"
공복감,"시장기

"
공비,"관비, 국비
"
공비,"빨치산

"
공사장,"공사판

"
공사판,"공사장

"
공석,"빈자리

"
공석,"빈자리

"
공소장,"기소장

"
공수병,"광견병

"
공시,"공고2, 공포1, 반포

"
공원,"직공

"
공유지,"국유지
"
공익사업,"공공사업

"
공작물,"공작품

"
공작품,"공작물

"
공중목욕탕,"대중목욕탕

"
공중변소,"공중화장실

"
공중화장실,"공중변소

"
공지,"공터, 터1

"
공짜,"공것

"
공책,"노트1

"
공터,"공지2, 터1

"
공포,"공고2, 공시, 반포

"
공학,"엔지니어링

"
공헌,"기여

"
과거사,"과거지사

"
과거지사,"과거사

"
과녁,"과녁판

"
과녁판,"과녁

"
과대망상,"과대망상증

"
과대망상증,"과대망상

"
과도,"과일칼

"
과보호,"과잉보호

"
과수,"과실수, 과일나무

"
과실,"과일, 실과

"
과실,"과오

"
과실수,"과수, 과일나무

"
과오,"과실2

"
과일,"실과, 과실1

"
과일나무,"과실수, 과수

"
과일즙,"과즙

"
과일칼,"과도1

"
과잉보호,"과보호

"
과즙,"과일즙

"
과학,"자연 과학

"
관객,"관람자, 구경꾼

"
관객석,"관람석

"
관광업,"관광 사업

"
관념론,"관념주의

"
관념주의,"관념론

"
관람석,"관객석

"
관람자,"관객, 구경꾼

"
관련,"연관

"
관련성,"연관성

"
관리,"관헌, 벼슬아치

"
관리인,"매니저, 지배인

"
관복,"관운

"
관비,"공비1, 국비
"
관성,"타성

"
관심거리,"관심사

"
관심사,"관심거리

"
관용구,"관용어, 숙어

"
관용어,"관용구, 숙어

"
관운,"관복2

"
관절,"뼈마디

"
관점,"견지

"
관제,"직제

"
관직,"직1

"
관헌,"관리1, 벼슬아치

"
관현악단,"오케스트라
"
