데리다,"모시다

"
먹다,"자시다

"
문안하다,"문안드리다

"
받다,"받잡다

"
사과하다,"사과드리다

"
있다,"계시다1

"
자다,"주무시다

"
잡수다,"잡수시다

"
주다,"드리다1

"
죽다,"돌아가다

"
가로지르다,"건너지르다

"
가로지르다,"건너지르다

"
가로지르다,"건너지르다

"
가물가물하다,"가물거리다, 가물대다

"
가물가물하다,"가물거리다, 가물대다

"
가물가물하다,"가물거리다, 가물대다

"
가물거리다,"가물가물하다1, 가물대다
"
가물거리다,"가물가물하다1, 가물대다
"
가물거리다,"가물가물하다1, 가물대다
"
가물대다,"가물가물하다1, 가물거리다

"
가물대다,"가물가물하다1, 가물거리다

"
가물대다,"가물가물하다1, 가물거리다

"
가열하다,"데우다

"
가을걷이하다,"추수하다

"
간들간들하다,"간들거리다, 간들대다

"
간들간들하다,"간들거리다, 간들대다

"
간들간들하다,"간들거리다, 간들대다

"
간들거리다,"간들간들하다, 간들대다
큰말 건들거리다

"
간들거리다,"간들간들하다, 간들대다
큰말 건들거리다

"
간들거리다,"간들간들하다, 간들대다
큰말 건들거리다

"
간들대다,"간들간들하다, 간들거리다

"
간들대다,"간들간들하다, 간들거리다

"
간들대다,"간들간들하다, 간들거리다

"
간음하다,"내통하다, 야합하다, 통정하다

"
간지럽히다,"간질이다

"
간질간질하다,"간질거리다, 간질대다

"
간질간질하다,"간질거리다, 간질대다

"
간질거리다,"간질간질하다1, 간질대다
큰말 근질거리다

"
간질거리다,"간질간질하다1, 간질대다
큰말 근질거리다

"
간질대다,"간질간질하다1, 간질거리다

"
간질대다,"간질간질하다1, 간질거리다

"
간질이다,"간지럽히다

"
간추리다,"요약하다

"
간행되다,"출간되다, 출판되다

"
간행하다,"출간하다, 출판하다

"
갈다,"교체하다, 대체하다

"
갈다,"교체하다, 대체하다

"
갈다,"연마하다

"
갈라서다,"갈라지다

"
갈라지다,"갈라서다

"
갈리다,"쉬다2

"
갈무리되다,"저장되다

"
갈무리하다,"저장하다

"
감다,"걸치다

"
감소하다,"줄다
"
감하다,"줄다

"
강간하다,"겁탈하다

"
강하하다,"하강하다

"
갖추다,"구비하다

"
같이하다,"함께하다

"
같이하다,"함께하다
"
개가하다,"재가하다1

"
개간되다,"개척되다

"
개간하다,"개척하다

"
개교하다,"개학하다

"
개국하다,"건국하다

"
개다,"개키다

"
개명하다,"개화하다1, 진보하다1

"
개발되다,"계발되다

"
개발하다,"계발하다

"
개방되다,"공개되다
"
개시하다,"개점하다

"
개시하다,"마수걸이하다

"
개점하다,"개시하다1
"
개척되다,"개간되다

"
개척하다,"개간하다

"
개키다,"개다3

"
개학하다,"개교하다

"
개화되다,"진보되다

"
개화하다,"개명하다2, 진보하다1

"
갱생하다,"소생하다, 재생하다, 회생하다

"
갱신되다,"경신되다

"
갱신하다,"경신하다

"
갸우뚱갸우뚱하다,"갸우뚱거리다, 갸우뚱대다

"
갸우뚱거리다,"갸우뚱대다, 갸우뚱갸우뚱하다1

"
갸우뚱대다,"갸우뚱갸우뚱하다1, 갸우뚱거리다

"
갸우뚱대다,"갸우뚱갸우뚱하다1, 갸우뚱거리다

"
갸웃갸웃하다,"갸웃거리다, 갸웃대다

"
갸웃거리다,"갸웃대다, 갸웃갸웃하다1

"
갸웃대다,"갸웃갸웃하다1, 갸웃거리다

"
갹출하다,"추렴하다

"
거꾸러뜨리다,"거꾸러트리다

"
거꾸러뜨리다,"거꾸러트리다

"
거꾸러뜨리다,"거꾸러트리다

"
거꾸러트리다,"거꾸러뜨리다

"
거꾸러트리다,"거꾸러뜨리다

"
거꾸러트리다,"거꾸러뜨리다

"
거두다,"받다1
"
거드럭거드럭하다,"거드럭거리다, 거드럭대다

"
거드럭거리다,"거드럭거드럭하다, 거드럭대다

"
거드럭대다,"거드럭거드럭하다, 거드럭거리다

"
거들먹거들먹하다,"거들먹거리다, 거들먹대다

"
거들먹거리다,"거들먹거들먹하다, 거들먹대다

"
거들먹대다,"거들먹거들먹하다, 거들먹거리다

"
거리끼다,"방해되다, 저해되다

"
거부하다,"거절하다

"
거절하다,"거부하다
"
거주하다,"주거하다

"
거치적거리다,"거치적거치적하다, 거치적대다

"
거치적거리다,"거치적거치적하다, 거치적대다

"
